sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
666,,Default,simple,Professionnels/Isolation/Ampack/Ampacoll,prof,Testproduct,"C'est un produit test.",,,1,"TVA taux normal","Catalog, Search",150.0000,,,,testproduct,,,,,,,,,,,,"10/9/17, 12:12 AM","10/9/17, 12:14 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,product_nbr=testproduit.site,0.0000,0.0000,1,1,0,1,1.0000,1,10000.0000,1,0,1.0000,1,0,0,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,
3865,,Default,simple,Professionnels/Isolation/Ampack/Ampacoll,prof,"Ampatop 25","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><font size=""4""><span style=""font-weight: bold;"">Ampatop 25<br/></span></font><font size=""4"">Lé sur lambrissage</font><font size=""4""><span style=""font-weight: bold;""><br/></span></font><font size=""4""/><font size=""4""><br style=""text-decoration: underline;""/><span style=""text-decoration: underline;"">Dimensions:</span> <span style=""font-style: italic;"">1.10 x 25 m <br/><br/></span><span style=""text-decoration: underline;"">Quantité par rouleau:</span><span style=""font-style: italic;""> 27.5 m2</span></font><br/></div>""",,,1,"TVA taux normal","Catalog, Search",5.9000,,,,ampatop-25,,,,/a/m/ampatop_25.png,,/a/m/ampatop_25.png,,/a/m/ampatop_25.png,,/a/m/ampatop_25.png,,"10/4/17, 5:11 PM","10/4/17, 5:48 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,product_nbr=a251.1.25.00.site,0.0000,0.0000,1,1,0,1,1.0000,1,10000.0000,1,0,1.0000,1,0,0,1,1.0000,1,0,0,0,,,,,,,/a/m/ampatop_25.png,,,"name=Nombre nécessaire [pce],type=field,required=0,price=,price_type=fixed,sku=qtyreq|name=Quantité desirée [m2],type=field,required=0,price=,price_type=fixed,sku=tgvalue|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len25.00,option_title=25.00|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid1100.0,option_title=1100.0|name=Épaisseur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep11.0,option_title=11.0|name=Quantité [m2],type=field,required=0,price=,price_type=fixed,sku=actualqty|name=Votre prix [CHF/m2],type=field,required=0,price=,price_type=fixed,sku=unitprice",,,,,,,
4680,,Default,simple,"Professionnels/Charpente et collés/Bois collés/BLC épicéa",prof,"Lamellé-collé BS-11 épicéa SI","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><font size=""4"">Lamellé-collé BS-11 épicéa SI <br/></font></span><font size=""4"" style=""font-weight: bold;"">visible&#44; avec chanfrein<br/><br/></font><font size=""3""><font size=""4""><span style=""text-decoration: underline;"">Hauteurs :</span>  <span style=""font-style: italic;"">De 8 à 10 cm</span><br/><br/><span style=""text-decoration: underline;"">Largeurs:</span> </font><span style=""font-style: italic;""><font size=""4"">De 12 à 44 cm&#44; tous les 4 cm<br/><br/></font></span></font><font size=""3""><font size=""4""><span style=""text-decoration: underline;"">Longueurs:</span></font><span style=""font-style: italic;""><font size=""4""> sur liste&#44; max 13.50m. <br/><br/>De 13.60m à 16.00m : supplément forfaitaire de 250.- Fr</font></span></font><font size=""3""><span style=""font-style: italic;""><br/></span><br style=""font-weight: bold;""/><span style=""font-weight: bold;"">Délai 3 semaines<br/><br/></span></font><font size=""3""><span style=""font-style: italic;""><font size=""4""><br/><span style=""font-weight: bold;"">Supplément pour:</span><br/>GL 28H : 16.-Fr/m3<br/>GL 32C : 28.-Fr/m3<br/>GL 32H : 54.-Fr/m3<br/>GL 36C : 67.-Fr/m3</font></span></font><br/><font size=""3""><font size=""3""><span style=""font-style: italic;""><br/><span style=""font-weight: bold;"">Nous disposons également du programme CadWork pour l'optimisation de vos listes !</span><br/></span></font><span style=""font-weight: bold;""><font size=""4""><br/></font></span></font></div>""",,,1,"TVA taux normal","Catalog, Search",820.0000,,,,lamelle-colle-bs-11-epicea-si,,,,/b/l/blc_lamellix.jpg,,/b/l/blc_lamellix.jpg,,/b/l/blc_lamellix.jpg,,/b/l/blc_lamellix.jpg,,"10/4/17, 5:11 PM","10/4/17, 5:48 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"product_nbr=blcév.100 à 120.site",0.0000,0.0000,1,1,0,1,1.0000,1,10000.0000,1,0,1.0000,1,0,0,1,1.0000,1,0,0,0,,,,,,,/b/l/blc_lamellix.jpg,,,"name=Nombre nécessaire [pce],type=field,required=0,price=,price_type=fixed,sku=qtyreq|name=Quantité desirée [m3],type=field,required=0,price=,price_type=fixed,sku=tgvalue|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len3.50,option_title=3.50|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len4.00,option_title=4.00|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len4.50,option_title=4.50|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len5.00,option_title=5.00|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len5.50,option_title=5.50|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len6.00,option_title=6.00|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len6.50,option_title=6.50|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len7.00,option_title=7.00|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len7.50,option_title=7.50|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len8.00,option_title=8.00|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len8.50,option_title=8.50|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len9.00,option_title=9.00|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len9.50,option_title=9.50|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len10.00,option_title=10.00|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len10.50,option_title=10.50|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len11.00,option_title=11.00|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len11.50,option_title=11.50|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len12.00,option_title=12.00|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len12.50,option_title=12.50|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len13.00,option_title=13.00|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len13.50,option_title=13.50|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid120.0,option_title=120.0|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid160.0,option_title=160.0|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid200.0,option_title=200.0|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid240.0,option_title=240.0|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid280.0,option_title=280.0|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid320.0,option_title=320.0|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid360.0,option_title=360.0|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid400.0,option_title=400.0|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid440.0,option_title=440.0|name=Épaisseur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep80.0,option_title=80.0|name=Épaisseur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep90.0,option_title=90.0|name=Épaisseur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep100.0,option_title=100.0|name=Quantité [m3],type=field,required=0,price=,price_type=fixed,sku=actualqty|name=Votre prix [CHF/m3],type=field,required=0,price=,price_type=fixed,sku=unitprice",,,,,,,
4942,,Default,simple,"Professionnels/Menuiserie et Avivés/Car. fenêtre massif/Epicéa guichets",prof,"Carrelets guichets épicéa","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><font size=""4"">Carrelets guichets épicéa I/II</font></span><font size=""4""><span style=""text-decoration: underline;""><br/><br/>Section:</span> 75/110 mm<span style=""text-decoration: underline;""><br/>Longueurs:</span> 4.00-4.50-5.00m<br/>(selon disponibilités du stock)<br/></font><font size=""4""><br/>Possibilité de débitage sur liste<span style=""text-decoration: underline;""><br/></span></font><font size=""4""><span style=""text-decoration: underline;"">Prix</span>: sur demande</font></div>""",,,1,"TVA taux normal","Catalog, Search",15.7500,,,,carrelets-guichets-epicea,,,,/c/a/carrelets-de_-fenetre-epi-0.jpg,,/c/a/carrelets-de_-fenetre-epi-0.jpg,,/c/a/carrelets-de_-fenetre-epi-0.jpg,,/c/a/carrelets-de_-fenetre-epi-0.jpg,,"10/4/17, 5:45 PM","10/4/17, 5:48 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,product_nbr=cdgé.75.110.ml.site,0.0000,0.0000,1,1,0,1,1.0000,1,10000.0000,1,0,1.0000,1,0,0,1,1.0000,1,0,0,0,,,,,,,/c/a/carrelets-de_-fenetre-epi-0.jpg,,,"name=Nombre nécessaire [pce],type=field,required=0,price=,price_type=fixed,sku=qtyreq|name=Quantité desirée [m.v.p],type=field,required=0,price=,price_type=fixed,sku=tgvalue|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len4.00,option_title=4.00|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len4.50,option_title=4.50|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len5.00,option_title=5.00|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid110.0,option_title=110.0|name=Épaisseur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep75.0,option_title=75.0|name=Quantité [m.v.p],type=field,required=0,price=,price_type=fixed,sku=actualqty|name=Votre prix [CHF/m.v.p],type=field,required=0,price=,price_type=fixed,sku=unitprice",,,,,,,
3814,,Default,simple,"Professionnels/Panneaux/Produits Knauf/Vis",prof,"Vis de fixation Vidiwall","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><font size=""4"">Knauf-Vis de fixation Vidiwall<br/></font></span><font size=""3""><font size=""4"">pour bois et métal</font></font><span style=""font-weight: bold;""/><br/><font size=""3""><br style=""text-decoration: underline;""/><font size=""4""><span style=""text-decoration: underline;"">Dimensions:</span> <span style=""font-style: italic;"">3.9 x 30 mm</span></font><span style=""font-weight: bold;""><br/></span><font size=""4"" style=""font-style: italic;""><br/>Paquets de 1000 pces</font></font></div>""",,,1,"TVA taux normal","Catalog, Search",34.0000,,,,vis-de-fixation-vidiwall,,,,/v/i/vis_knauf.png,,/v/i/vis_knauf.png,,/v/i/vis_knauf.png,,/v/i/vis_knauf.png,,"10/4/17, 5:45 PM","10/4/17, 5:48 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,product_nbr=vdfv.3.9.30.site,0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,0,0,1,1.0000,1,0,0,0,,,,,,,/v/i/vis_knauf.png,,,"name=Votre prix [CHF/pce],type=field,required=0,price=,price_type=fixed,sku=unitprice",,,,,,,
4308,,Default,simple,"Professionnels/Lames et Listerie/Mélèze raboté/Chanfrein",prof,"Lames mélèze IIB-IIIA","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: 12pt; font-family: Arial; font-weight: normal;""><font size=""4""><span style=""font-weight: bold;"">Lames mélèze IIB-IIIA</span></font><br/><font size=""3"">profil chanfrein&#44; paquets de 5 pces<br/><br/><span style=""text-decoration: underline;"">Epaisseur:</span> 20 mm<br/><span style=""text-decoration: underline;"">Largeurs</span> : 107 - 135 - 160mm<br/><span style=""text-decoration: underline;"">Longueurs</span> : 4.00&#44; 5.00m</font><font size=""4""><font size=""4""><span style=""font-style: italic;""><span style=""font-weight: bold;""><br/><br/>Selon disponibilités</span></span></font></font><br type=""_moz""/></div>""",,,1,"TVA taux normal","Catalog, Search",35.0000,,,,lames-meleze-iib-iiia,,,,/l/a/lames_meleze_chanfreinees.jpg,,/l/a/lames_meleze_chanfreinees.jpg,,/l/a/lames_meleze_chanfreinees.jpg,,/l/a/lames_meleze_chanfreinees.jpg,,"10/4/17, 5:45 PM","10/4/17, 5:48 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,product_nbr=lmpc.20.107.4.00.site,0.0000,0.0000,1,1,0,1,1.0000,1,10000.0000,1,0,1.0000,1,0,0,0,5.0000,0,1,0,0,,,,,,,/l/a/lames_meleze_chanfreinees.jpg,,,"name=Nombre nécessaire [pce],type=field,required=0,price=,price_type=fixed,sku=qtyreq|name=Quantité desirée [m2],type=field,required=0,price=,price_type=fixed,sku=tgvalue|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len3.00,option_title=3.00|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len4.00,option_title=4.00|name=Longueur [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len5.00,option_title=5.00|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid107.0,option_title=107.0|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid135.0,option_title=135.0|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid160.0,option_title=160.0|name=Épaisseur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep20.0,option_title=20.0|name=Échelle suivante [m2],type=field,required=0,price=,price_type=fixed,sku=nextdisclevel|name=Rabais [CHF],type=field,required=0,price=,price_type=fixed,sku=actualdisc|name=Quantité [m2],type=field,required=0,price=,price_type=fixed,sku=actualqty|name=Votre prix [CHF/m2],type=field,required=0,price=,price_type=fixed,sku=unitprice",,,,,,,
