sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
"blcév.100 à 120.site",,Default,simple,"Professionnels/Charpente et collés/Bois collés/BLC épicéa",prof,"Lamellé-collé BS-11 épicéa SI  visible, avec chanfrein","<p><strong>Lamell&eacute;-coll&eacute; BS-11 &eacute;pic&eacute;a SI </strong><br /><strong>visible, avec chanfrein</strong><br /><br />Hauteurs :&nbsp; De 8 &agrave; 10 cm<br /><br />Largeurs: De 12 &agrave; 44 cm, tous les 4 cm<br /><br />Longueurs: sur liste, max 13.50m. <br /><br />De 13.60m &agrave; 16.00m : suppl&eacute;ment forfaitaire de 250.- Fr<br /><br />D&eacute;lai 3 semaines<br /><br /><br />Suppl&eacute;ment pour:<br />GL 28H : 16.-Fr/m3<br />GL 32C : 28.-Fr/m3<br />GL 32H : 54.-Fr/m3<br />GL 36C : 67.-Fr/m3<br /><br />Nous disposons &eacute;galement du programme CadWork pour l'optimisation de vos listes !</p>
<p></p>",,,1,"Taxable Goods","Catalog, Search",820.0000,,,,lamelle-colle-bs-11-epicea-si-visible-avec-chanfrein,"Lamellé-collé BS-11 épicéa SI  visible, avec chanfrein","Lamellé-collé BS-11 épicéa SI  visible, avec chanfrein","Lamellé-collé BS-11 épicéa SI  visible, avec chanfrein ",,,,,,,,,"9/21/17, 3:19 PM","9/21/17, 3:23 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,0,0,1,1.0000,1,0,0,0,,,,,,,,,,"name=Longueur (m),type=field,required=1,price=0.0000,price_type=fixed,sku=len|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid120,option_title=120|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid160,option_title=160|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid200,option_title=200|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid240,option_title=240|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid280,option_title=280|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid320,option_title=320|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid360,option_title=360|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid400,option_title=400|name=Largeur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=wid440,option_title=440|name=Hauteur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep80,option_title=80|name=Hauteur [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep100,option_title=100|name=Supplément forfaitaire [CHF],type=field,required=0,price=0.0000,price_type=fixed,sku=surcharge|name=Niveau de remise supérieure [m3],type=field,required=0,price=0.0000,price_type=fixed,sku=nextdisclevel|name=Remise [CHF],type=field,required=0,price=0.0000,price_type=fixed,sku=actualdisc|name=Quantité [m3],type=field,required=0,price=0.0000,price_type=fixed,sku=actualqty|name=Votre prix [CHF/m3],type=field,required=0,price=0.0000,price_type=fixed,sku=unitprice",,,,,,,
a251.1.25.00.site,,Default,simple,Professionnels/Isolation/Ampack/Ampacoll,prof,"Ampatop 25","<p><strong>Ampatop 25</strong><br />L&eacute; sur lambrissage<br /><br />Dimensions: 1.10 x 25 m <br /><br />Quantit&eacute; par rouleau: 27.5 m2</p>",,33.0000,1,"Taxable Goods","Catalog, Search",5.9000,,,,ampatop-25,"Ampatop 25","Ampatop 25","Ampatop 25 ",,,,,,,,,"9/21/17, 3:19 PM","9/21/17, 3:23 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,9944.0000,0.0000,1,1,0,1,1.0000,1,10000.0000,1,1,1.0000,1,0,0,0,27.5000,0,1,0,0,,,,,,,,,,"name=Votre prix [CHF/m2],type=field,required=0,price=0.0000,price_type=fixed,sku=unitprice",,,,,,,
vdfv.3.9.30.site,,Default,simple,"Professionnels/Panneaux/Produits Knauf/Vis",prof,"Knauf-Vis de fixation Vidiwall pour bois et métal","<p><span><span style=""font-size: large;""><strong>Knauf-Vis de fixation Vidiwall</strong><br /></span></span><span style=""font-size: medium;""><span style=""font-size: large;"">pour bois et m&eacute;tal</span></span><span></span><br /><span style=""font-size: medium;""><br /><span style=""font-size: large;""><span>Dimensions:</span>&nbsp;<span>3.9 x 30 mm</span></span><span><br /></span><span style=""font-size: large;""><br />Paquets de 1000 pces</span></span></p>",,,1,"Taxable Goods","Catalog, Search",34.0000,,,,knauf-vis-de-fixation-vidiwall-pour-bois-et-metal,"Knauf-Vis de fixation Vidiwall pour bois et métal","Knauf-Vis de fixation Vidiwall pour bois et métal","Knauf-Vis de fixation Vidiwall pour bois et métal ",,,,,,,,,"9/21/17, 3:19 PM","9/21/17, 3:23 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,0,0,1,1.0000,1,0,0,0,,,,,,,,,,"name=Votre prix [CHF/pce],type=field,required=0,price=0.0000,price_type=fixed,sku=unitprice",,,,,,,
4308,,Default,simple,"Professionnels/Lames et Listerie/Mélèze raboté/Chanfrein",prof,"Lames mélèze IIB-IIIA","<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: 12pt; font-family: Arial; font-weight: normal;""><font size=""4""><span style=""font-weight: bold;"">Lames mélèze IIB-IIIA</span></font><br/><font size=""3"">profil chanfrein <br/>paquets de 5 pces<br/><br/><span style=""text-decoration: underline;"">Epaisseur:</span> 20 mm<br/><br/><span style=""text-decoration: underline;"">Largeurs</span> : 107 - 135 - 160mm<br/><br/><span style=""text-decoration: underline;"">Longueurs</span> : 4.00, 5.00m<br/><br/></font><font size=""4""><font size=""4""><span style=""font-style: italic;""><br/><span style=""font-weight: bold;"">Selon disponibilités </span></span></font></font><br type=""_moz""/></div>",,,1,"TVA taux normal","Catalog, Search",35.0000,,,,lames-meleze-iib-iiia,,,,/l/a/lames_meleze_chanfreinees.jpg,,/l/a/lames_meleze_chanfreinees.jpg,,/l/a/lames_meleze_chanfreinees.jpg,,/l/a/lames_meleze_chanfreinees.jpg,,"9/21/17, 4:02 PM","9/22/17, 11:08 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"product_nbr=""lmpc.20.107.4.00.site""",0.0000,0.0000,1,1,0,1,1.0000,1,10000.0000,1,1,1.0000,1,0,0,0,5.0000,0,1,0,0,,,,,,,/l/a/lames_meleze_chanfreinees.jpg,,,"name=Benötigte Anzahl für die Zielmenge [pce],type=field,required=0,price=,price_type=fixed,sku=qtyreq|name=Gewünschte Zielmenge [m.v.p],type=field,required=0,price=,price_type=fixed,sku=tgvalue|name=Länge [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len4.00,option_title=4.00|name=Länge [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len4.50,option_title=4.50|name=Länge [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len5.00,option_title=5.00|name=Breite [mm],type=field,required=1,price=0.0000,price_type=fixed,sku=wid|name=Höhe [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep25.0,option_title=25.0|name=Höhe [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep27.0,option_title=27.0|name=Höhe [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep30.0,option_title=30.0|name=Höhe [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep34.0,option_title=34.0|name=Menge [m.v.p],type=field,required=0,price=,price_type=fixed,sku=actualqty|name=Einheitspreis [CHF/m.v.p],type=field,required=0,price=,price_type=fixed,sku=unitprice",,,,,,,
4942,,Default,simple,"Professionnels/Menuiserie et Avivés/Car. fenêtre massif/Epicéa guichets",prof,"Carrelets guichets épicéa","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><font size=""4"">Carrelets guichets épicéa I/II</font></span><font size=""4""><span style=""text-decoration: underline;""><br/><br/>Section:</span> 75/110 mm<span style=""text-decoration: underline;""><br/>Longueurs:</span> 4.00-4.50-5.00m<br/>(selon disponibilités du stock)<br/></font><font size=""4""><br/>Possibilité de débitage sur liste<span style=""text-decoration: underline;""><br/></span></font><font size=""4""><span style=""text-decoration: underline;"">Prix</span>: sur demande</font></div>""",,,1,"TVA taux normal","Catalog, Search",15.7500,,,,carrelets-guichets-epicea,,,,/c/a/carrelets-de_-fenetre-epi-0.jpg,,/c/a/carrelets-de_-fenetre-epi-0.jpg,,/c/a/carrelets-de_-fenetre-epi-0.jpg,,/c/a/carrelets-de_-fenetre-epi-0.jpg,,"9/25/17, 2:57 PM","9/25/17, 3:01 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,,0.0000,0.0000,1,1,0,1,1.0000,1,10000.0000,1,1,1.0000,1,0,0,1,1.0000,1,0,0,0,,,,,,,/c/a/carrelets-de_-fenetre-epi-0.jpg,,,"name=Benötigte Anzahl für die Zielmenge [pce],type=field,required=0,price=0.0000,price_type=fixed,sku=qtyreq|name=Gewünschte Zielmenge [m.v.p],type=field,required=0,price=0.0000,price_type=fixed,sku=tgvalue|name=Länge [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len4.00,option_title=4.00|name=Länge [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len4.50,option_title=4.50|name=Länge [m],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=len5.00,option_title=5.00|name=Breite [mm],type=field,required=1,price=0.0000,price_type=fixed,sku=wid|name=Höhe [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep25.0,option_title=25.0|name=Höhe [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep27.0,option_title=27.0|name=Höhe [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep30.0,option_title=30.0|name=Höhe [mm],type=drop_down,required=1,price=0.0000,price_type=fixed,sku=dep34.0,option_title=34.0|name=Menge [m.v.p],type=field,required=0,price=0.0000,price_type=fixed,sku=actualqty|name=Einheitspreis [CHF/m.v.p],type=field,required=0,price=0.0000,price_type=fixed,sku=unitprice",,,,,,,
