sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images
"4308","prof_view_fr","Default","simple","Professionnels/Lames et Listerie/Mélèze raboté/Chanfrein","prof","Lames mélèze IIB-IIIA","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: 12pt; font-family: Arial; font-weight: normal;"><font size="4"><span style="font-weight: bold;">Lames mélèze IIB-IIIA</span></font><br/><font size="3">profil chanfrein paquets de 5 pces<br/><br/><span style="text-decoration: underline;">Epaisseur:</span> 20 mm<br/><span style="text-decoration: underline;">Largeurs</span> : 107 - 135 - 160mm<br/><span style="text-decoration: underline;">Longueurs</span> : 4.00 5.00m</font><font size="4"><font size="4"><span style="font-style: italic;"><span style="font-weight: bold;"><br/><br/>Selon disponibilités</span></span></font></font><br type="_moz"/></div>","1","TVA taux normal","Catalog, Search","35","/lames_et_listerie/meleze_rabote/chanfrein/lames_meleze_chanfreinees.jpg","/lames_et_listerie/meleze_rabote/chanfrein/lames_meleze_chanfreinees.jpg","/lames_et_listerie/meleze_rabote/chanfrein/lames_meleze_chanfreinees.jpg","/lames_et_listerie/meleze_rabote/chanfrein/lames_meleze_chanfreinees.jpg","Block after Info Column","product_nbr=lmpc.20.107.4.00.site","1","1","1","1","1","1","0","0","0","5","0","1","0","/lames_et_listerie/meleze_rabote/chanfrein/lames_meleze_chanfreinees.jpg"
"4942","prof_view_fr","Default","simple","Professionnels/Menuiserie et Avivés/Car. fenêtre massif/Epicéa guichets","prof","Carrelets guichets épicéa","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Carrelets guichets épicéa I/II</font></span><font size="4"><span style="text-decoration: underline;"><br/><br/>Section:</span> 75/110 mm<span style="text-decoration: underline;"><br/>Longueurs:</span> 4.00-4.50-5.00m<br/>(selon disponibilités du stock)<br/></font><font size="4"><br/>Possibilité de débitage sur liste<span style="text-decoration: underline;"><br/></span></font><font size="4"><span style="text-decoration: underline;">Prix</span>: sur demande</font></div>","1","TVA taux normal","Catalog, Search","15.75","/menuiserie_et_avives/carrelets_de_fenetre_massifs/epicea/carrelets-de_-fenetre-epi-0.jpg","/menuiserie_et_avives/carrelets_de_fenetre_massifs/epicea/carrelets-de_-fenetre-epi-0.jpg","/menuiserie_et_avives/carrelets_de_fenetre_massifs/epicea/carrelets-de_-fenetre-epi-0.jpg","/menuiserie_et_avives/carrelets_de_fenetre_massifs/epicea/carrelets-de_-fenetre-epi-0.jpg","Block after Info Column","product_nbr=cdgé.75.110.ml.site","1","1","1","1","1","1","0","0","1","1","1","0","0","/menuiserie_et_avives/carrelets_de_fenetre_massifs/epicea/carrelets-de_-fenetre-epi-0.jpg"
