sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images
"1356",,"Default","simple",,"prof,priv","Couvre-joints sapin brut No","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Couvre-joints sapin brut </span></font><font size="2"><font size="3"><font size="4"><span style="font-weight: bold;">No 1216 </span></font><br/>2 biais<br/></font><font size="3"><br/>Section: 6mm x 30mm</font><br type="_moz"/></font></div>","1","TVA taux normal","Catalog, Search","3.8",,,,,"Block after Info Column","product_nbr=cjsb1b.6.30","1","1","1","1","1","1","0","0","1","1","1","0",,
"4680",,"Default","simple","rcat_fr/Charpente et collés/Bois collés/BLC épicéa","prof,priv","BLC épicéa visible N de 8cm à 10cm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Lamellé-collé BS-11 épicéa SI <br/></font></span><font size="4" style="font-weight: bold;">visible&#44; avec chanfrein<br/><br/></font><font size="3"><font size="4"><span style="text-decoration: underline;">Hauteurs :</span>  <span style="font-style: italic;">De 8 à 10 cm</span><br/><br/><span style="text-decoration: underline;">Largeurs:</span> </font><span style="font-style: italic;"><font size="4">De 12 à 44 cm&#44; tous les 4 cm<br/><br/></font></span></font><font size="3"><font size="4"><span style="text-decoration: underline;">Longueurs:</span></font><span style="font-style: italic;"><font size="4"> sur liste&#44; max 13.50m. <br/></font></span></font><font size="3"><span style="font-style: italic;"><font size="4"><br/>Qualité non visible : - 25.- Fr/m3<br/><br/></font></span></font><font size="3"><span style="font-style: italic;"><font size="4">De 13.60m à 16.00m : supplément forfaitaire de 360.- Fr</font></span></font><font size="3"><span style="font-style: italic;"><br/></span><br style="font-weight: bold;"/><span style="font-weight: bold;">Délai 3 semaines<br/><br/></span></font><font size="3"><span style="font-style: italic;"><font size="4"><br/><span style="font-weight: bold;">Supplément pour:</span><br/>GL 28H : 16.-Fr/m3<br/>GL 32C : 28.-Fr/m3<br/>GL 32H : 54.-Fr/m3<br/>GL 36C : 67.-Fr/m3</font></span></font><br/><font size="3"><font size="3"><span style="font-style: italic;"><br/><span style="font-weight: bold;">Nous disposons également du programme CadWork pour l'optimisation de vos listes !</span><br/></span></font><span style="font-weight: bold;"><font size="4"><br/></font></span></font></div>","1","TVA taux normal","Catalog, Search","900","/charpente_et_colles/bois_colles/blc_epicea/blc_lamellix.jpg","/charpente_et_colles/bois_colles/blc_epicea/blc_lamellix.jpg","/charpente_et_colles/bois_colles/blc_epicea/blc_lamellix.jpg","/charpente_et_colles/bois_colles/blc_epicea/blc_lamellix.jpg","Block after Info Column","product_nbr=blcév.100 à 120.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/charpente_et_colles/bois_colles/blc_epicea/blc_lamellix.jpg"
"5818",,"Default","simple","rcat_fr/Panneaux/Aggloméré et MDF/MDF Médite Extérior","prof,priv","Panneaux MDF Médite Extérior 18 mm x 2745 mm x 1525 mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Panneaux MDF Médite Extérior<br/></font></span><font size="4">Collage V100 pour usage extérieur.</font><span style="font-weight: bold;"><br/><br/></span><font size="4"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">18 mm<br/></span><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Dimensions:</span> <span style="font-style: italic;">274.5 x 152.5 cm</span></font><span style="font-weight: bold;"><font size="4"><br/></font></span><span style="font-weight: bold;"><font size="4"><br/></font></span><font size="4"><span style="font-style: italic;">34 pièces par palette <br/>Rabais par palette: <span style="font-weight: bold;">20%</span></span></font><br/><span style="font-weight: bold;"><br/></span><br/><span style="font-weight: bold;"><font size="4"><br/></font><br type="_moz"/></span></div>","1","TVA taux normal","Catalog, Search","49",,,,,"Block after Info Column","product_nbr=pmdfme.18.2745.1525.site","1","1","1","1","1","1","0","0","1","1","1","0",,
