sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price
"5449","All Websites [CHF]","8.0","1","29.16"
"4531","All Websites [CHF]","8.0","1","13.41"
"4534","All Websites [CHF]","8.0","1","18.34"
"4527","All Websites [CHF]","8.0","1","7.18"
"4540","All Websites [CHF]","8.0","1","9.21"
"4530","All Websites [CHF]","8.0","1","12.43"
"4532","All Websites [CHF]","8.0","1","14.88"
"5005","All Websites [CHF]","8.0","1","21.35"
"4528","All Websites [CHF]","8.0","1","8.68"
"4533","All Websites [CHF]","8.0","1","16.14"
"5450","All Websites [CHF]","8.0","1","27.58"
"4529","All Websites [CHF]","8.0","1","10.57"
"4535","All Websites [CHF]","8.0","1","19.71"
