sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images
"4308",,"Default","simple",,"prof,priv","Lames mélèze profil chanfrein","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: 12pt; font-family: Arial; font-weight: normal;"><font size="4"><span style="font-weight: bold;">Lames mélèze IIB-IIIA</span></font><br/><font size="3">profil chanfrein <br/>paquets de 5 pces<br/><br/><span style="text-decoration: underline;">Epaisseur:</span> 20 mm<br/><br/><span style="text-decoration: underline;">Largeurs</span> : 107 - 135 - 160mm<br/><br/><span style="text-decoration: underline;">Longueurs</span> : 4.00&#44; 5.00m<br/><br/></font><font size="4"><font size="4"><span style="font-style: italic;"><br/><span style="font-weight: bold;">Selon disponibilités </span></span></font></font><br type="_moz"/></div>","1","TVA taux normal","Catalog, Search","36.1",,,,,"Block after Info Column","product_nbr=lmpc.20.107.4.00.site","1","1","1","1","1","1","0","0","0","5","0","1",,
"4680",,"Default","simple",,"prof","Lamellé-collé BS-11 épicéa SI","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Lamellé-collé BS-11 épicéa SI <br/></font></span><font size="4" style="font-weight: bold;">visible&#44; avec chanfrein<br/><br/></font><font size="3"><font size="4"><span style="text-decoration: underline;">Hauteurs :</span>  <span style="font-style: italic;">De 8 à 10 cm</span><br/><br/><span style="text-decoration: underline;">Largeurs:</span> </font><span style="font-style: italic;"><font size="4">De 12 à 44 cm&#44; tous les 4 cm<br/><br/></font></span></font><font size="3"><font size="4"><span style="text-decoration: underline;">Longueurs:</span></font><span style="font-style: italic;"><font size="4"> sur liste&#44; max 13.50m. <br/><br/>De 13.60m à 16.00m : supplément forfaitaire de 250.- Fr</font></span></font><font size="3"><span style="font-style: italic;"><br/></span><br style="font-weight: bold;"/><span style="font-weight: bold;">Délai 3 semaines<br/><br/></span></font><font size="3"><span style="font-style: italic;"><font size="4"><br/><span style="font-weight: bold;">Supplément pour:</span><br/>GL 28H : 16.-Fr/m3<br/>GL 32C : 28.-Fr/m3<br/>GL 32H : 54.-Fr/m3<br/>GL 36C : 67.-Fr/m3</font></span></font><br/><font size="3"><font size="3"><span style="font-style: italic;"><br/><span style="font-weight: bold;">Nous disposons également du programme CadWork pour l'optimisation de vos listes !</span><br/></span></font><span style="font-weight: bold;"><font size="4"><br/></font></span></font></div>","1","TVA taux normal","Catalog, Search","840",,,,,"Block after Info Column","product_nbr=blcév.100 à 120.site","1","1","1","1","1","1","0","0","1","1","1","0",,
"4942",,"Default","simple",,"prof","Carrelets guichets épicéa","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Carrelets guichets épicéa I/II</font></span><font size="4"><br/><br/><span style="text-decoration: underline;">Section:</span> 75/110 mm<br/><br/><span style="text-decoration: underline;">Longueurs:</span> 4.00-4.50-5.00m<br/>(selon disponibilités du stock)<br/><br/></font><font size="4">Possibilité de débitage sur liste</font><br/><font size="4"><br/><span style="text-decoration: underline;">Prix</span>: sur demande</font></div>","1","TVA taux normal","Catalog, Search","15.75",,,,,"Block after Info Column","product_nbr=cdgé.75.110.ml.site","1","1","1","1","1","1","0","0","1","1","1","0",,
"3814",,"Default","simple",,"prof,priv","Vis de fixation Vidiwall","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Knauf-Vis de fixation Vidiwall<br/></font></span><font size="3"><font size="4">pour bois et métal</font></font><span style="font-weight: bold;"/><br/><font size="3"><br style="text-decoration: underline;"/><font size="4"><span style="text-decoration: underline;">Dimensions:</span> <span style="font-style: italic;">3.9 x 30 mm</span></font><span style="font-weight: bold;"><br/></span><font size="4" style="font-style: italic;"><br/>Paquets de 1000 pces</font></font></div>","1","TVA taux normal","Catalog, Search","34",,,,,"Block after Info Column","product_nbr=vdfv.3.9.30.site","1","0","1","1","1","1","0","0","1","1","1","0",,
