sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images
"3873",,"Default","simple",,"prof,priv","Ampacoll AT","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Ampacoll AT<br/></span></font><font size="4">Bandes adhésives<br/></font><font size="4"><font size="4"><span style="font-weight: bold;"><br/></span></font><font size="4"><span style="text-decoration: underline;">Epaisseur:</span><span style="font-style: italic;"> 50 mm         </span></font></font><font size="4"><font size="4"><span style="text-decoration: underline;">Longueur:</span> <span style="font-style: italic;">50 m</span></font></font><font size="4"><font size="4"><span style="font-style: italic;"></span></font></font><br/></div>","1","TVA taux normal","Catalog, Search","0.99",,,,,"Block after Info Column","product_nbr=aat.50.50.00.site","1","1","1","1","1","1","0","0","1","1","1","0",,
"4994",,"Default","simple",,"prof,priv","Carrelets cadres 3-plis mélèze 75/110","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Carrelets cadres 3-plis mélèze I/II</font></span><font size="4"><br/><br/><span style="text-decoration: underline;">Section:</span> 75/110 mm<br/><br/><span style="text-decoration: underline;">Longueurs:</span> 4.00&#44; 4.50&#44; 5.00 m<br/>(selon disponibilités du stock)<br/><br/></font><font size="4">Possibilité de débitage sur liste</font><font size="4"></font><br/><br/></div>","1","TVA taux normal","Catalog, Search","36.8",,,,,"Block after Info Column","product_nbr=c3pmc.75.110.site","1","1","1","1","1","1","0","0","1","1","1","0",,
"4527",,"Default","simple",,"prof,priv","Isolation Knauf TI 135 U (80/1200)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Isolation Knauf Laine de verre</span></font><span style="font-weight: bold;"><font size="4"><br/></font></span><font size="3">rouleau TI 135 U sans PV<br/><br/><span style="text-decoration: underline;">Poid </span>:  20 kg / m3 <br/><span style="text-decoration: underline;">Epaisseur</span> : 80 mm<br/><br/><span style="text-decoration: underline;">Largeur</span> : 1200 mm<br/><span style="text-decoration: underline;">Longueur</span> : 6.30 m / 7.00 m  <br/><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Quantité par paquet </span>: 7.56 m2 / 8.40 m2 <br/></font></div>","1","TVA taux normal","Catalog, Search","10.25",,,,,"Block after Info Column","product_nbr=ikti135 u.80.1200.site","1","1","1","1","1","1","0","0","1","1","1","0",,
