sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price
"6334","All Websites [CHF]","8.0","1","3.1"
"6334","All Websites [CHF]","8.11","1","3.1"
"6338","All Websites [CHF]","8.0","1","1.05"
"6338","All Websites [CHF]","8.11","1","1.05"
"6327","All Websites [CHF]","8.0","1","1.4"
"6327","All Websites [CHF]","8.11","1","1.4"
"6328","All Websites [CHF]","8.0","1","1.55"
"6328","All Websites [CHF]","8.11","1","1.55"
"6329","All Websites [CHF]","8.0","1","1.1"
"6329","All Websites [CHF]","8.11","1","1.1"
"6330","All Websites [CHF]","8.0","1","1.85"
"6330","All Websites [CHF]","8.11","1","1.85"
"6331","All Websites [CHF]","8.0","1","1.9"
"6331","All Websites [CHF]","8.11","1","1.9"
"6332","All Websites [CHF]","8.0","1","2.4"
"6332","All Websites [CHF]","8.11","1","2.4"
"6333","All Websites [CHF]","8.0","1","3.25"
"6333","All Websites [CHF]","8.11","1","3.25"
"6336","All Websites [CHF]","8.0","1","3.6"
"6336","All Websites [CHF]","8.11","1","3.6"
