sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price
3814,All Websites [CHF],1045,1,30.7
3865,All Websites [CHF],1045,1,4.38
4308,All Websites [CHF],1045,1,24.3
4680,All Websites [CHF],1045,1,570
4942,All Websites [CHF],1045,1,11
3814,All Websites [CHF],9,1,29.5
3865,All Websites [CHF],9,1,4.22
4308,All Websites [CHF],9,1,23.9
4680,All Websites [CHF],9,1,560
4942,All Websites [CHF],9,1,10.5
