sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images
"4918",,"Default","simple","rcat_fr/Lames et Listerie/Lames terrasses bois/Châtaignier","prof,priv","Lames de terrasse Châtaignier abouté","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Lames de terrasse Châtaignier abouté<br/></span><font size="3">profil No 3&#44; 1 face double strie et 1 face lisse (réversible)<br/><br/><span style="text-decoration: underline;">Section </span>: 21/130 mm<br/><br/><span style="text-decoration: underline;">Longueur</span> : 6.00 m<br/></font></font><br/></div>","1","TVA taux normal","Catalogue, recherche","75","/lames_et_listerie/lames_terrasses_bois/ch_taignier/dsc00917.jpg","/lames_et_listerie/lames_terrasses_bois/ch_taignier/dsc00917.jpg","/lames_et_listerie/lames_terrasses_bois/ch_taignier/dsc00917.jpg","/lames_et_listerie/lames_terrasses_bois/ch_taignier/dsc00917.jpg","Block after Info Column","product_nbr=ldtca.21.130.6.00.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/lames_et_listerie/lames_terrasses_bois/ch_taignier/dsc00917.jpg"
"1845",,"Default","simple","rcat_fr/Lames et Listerie/Vapo-traitées sapin/Epicéa Vapo 19mm","prof,priv","Lames épicéa vapo rainées-crêtées 19mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4" style="font-weight: bold;">Lames épicéa du pays Vapo-traité IIB <br/></font><font size="3"><font size="4">profil rainé-crêté&#44; rabotées</font></font><font size="4"/><br/><font size="4"><span style="font-weight: bold;"><br/></span><span style="text-decoration: underline;">Sections:</span> <span style="font-style: italic;">19/135 - 160- 180 mm</span><span style="font-weight: bold;"><br/><br/></span><span style="text-decoration: underline;">Longueur:</span> <span style="font-style: italic;">5.10 m<br/></span></font><font size="4"><span style="font-style: italic;"><br/></span></font><font size="4"><span style="font-style: italic;">5 pièces par paquet</span></font><br/><br/></div>","1","TVA taux normal","Catalogue, recherche","30","/lames_et_listerie/vapo/vapo_3_largeurs/lame_3_largeur_vapo_traite.png","/lames_et_listerie/vapo/vapo_3_largeurs/lame_3_largeur_vapo_traite.png","/lames_et_listerie/vapo/vapo_3_largeurs/lame_3_largeur_vapo_traite.png","/lames_et_listerie/vapo/vapo_3_largeurs/lame_3_largeur_vapo_traite.png","Block after Info Column","product_nbr=lévrc.19.site","1","1","1","1","1","1","0","0","0","5","0","1",,"/lames_et_listerie/vapo/vapo_3_largeurs/lame_3_largeur_vapo_traite.png"
"3616",,"Default","simple","rcat_fr/Lames et Listerie/Listerie/Plinthes","prof,priv","Plinthes coniques chêne verni 60/12/8mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Plinthes coniques chêne verni n°1206</font><br/></span><font size="4"><font size="3"><font size="4"><span style="text-decoration: underline;"><br/>Sections</span>: <span style="font-style: italic;">12/8mm x 60mm</span></font></font></font><span style="font-weight: bold;"><br type="_moz"/></span></div>","1","TVA taux normal","Catalogue, recherche","10.6","/lames_et_listerie/listerie/plinthes/plinthes.png","/lames_et_listerie/listerie/plinthes/plinthes.png","/lames_et_listerie/listerie/plinthes/plinthes.png","/lames_et_listerie/listerie/plinthes/plinthes.png","Block after Info Column","product_nbr=pccv.60.12.8.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/lames_et_listerie/listerie/plinthes/plinthes.png"
"4699",,"Default","simple","rcat_fr///Chêne","prof,priv","Parquet à cliper Chêne rustique lame larg 11.5mm 1396114","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Parquet bois 3 plis à cliper Chêne rustique<br/>lame large 1 pce avec petit chanfrein F040<br/></font></span><font size="4"><font size="2"><font size="3">sans colle à cliper&#44; pose flottante&#44; couche d'usure 2.5mm&#44; verni mat d'usine <br/><br/>Dimensions: 11.5mm x 185mm x 2200mm<br/></font><span style="font-weight: bold;"><font size="3">Colis de 4.07 m2<br/></font></span></font></font><font size="4"><font size="2"><span style="font-weight: bold;"><font size="3"><br/>Rabais dès 32 colis : 10%</font></span></font></font><br/></div>","1","TVA taux normal","Catalogue, recherche","50","/parquets/bois/chene/chene_f040/f040.jpg","/parquets/bois/chene/chene_f040/f040.jpg","/parquets/bois/chene/chene_f040/f040.jpg","/parquets/bois/chene/chene_f040/f040.jpg","Block after Info Column","product_nbr=pcrcv.11.5.185.2200.site","1","1","1","1","1","1","0","0","0","4.07","0","1",,"/parquets/bois/chene/chene_f040/f040.jpg"
"4995",,"Default","simple","rcat_fr/Charpente et collés/Lambourdes-carrelets/Lambourdes rabotées,","prof,priv","Lambourdes épicéa aboutées rabotées  (Scierie)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Lambourdes épicéa/sapin aboutées&#44;</font><br/></span><font size="4">rabotées 4 faces </font><font size="4"><span style="font-weight: bold;"><br/><br style="text-decoration: underline;"/></span><span style="text-decoration: underline;">Sections:</span> <span style="font-style: italic;">40/80 mm</span>        <span style="text-decoration: underline;">Longueur:</span><span style="font-weight: bold;"> </span><span style="font-style: italic;">5 m<br/><br/>4 pces/paquets<br/>156 pces / ballot</span></font><font size="3"></font></div>","1","TVA taux normal","Catalogue, recherche","3.65",,,,,"Block after Info Column","product_nbr=lsar.40.80.5.00sc.site","1","1","1","1","1","1","0","0","0","4","0","1",,
"3981",,"Default","simple","rcat_fr/Panneaux/Aggloméré et MDF/MDF","prof,priv","Panneaux MDF E1 19mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Panneaux MDF E1<br/></font></span><span style="font-weight: bold;"><font size="4"><br/></font></span><font size="4"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">19 mm<br/></span><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Dimensions:</span> <span style="font-style: italic;">280 x 210 cm</span></font><span style="font-weight: bold;"><font size="4"> <br/><br/></font></span><font size="4">(sur délai : 410 x 207 - 500 x 207 cm)</font><br/><span style="font-weight: bold;"><font size="4"><br/></font></span><font size="4"><span style="font-style: italic;">25 pièces par palette<br/>Rabais par palette: <span style="font-weight: bold;">20%</span></span></font><br type="_moz"/></div>","1","TVA taux normal","Catalogue, recherche","13.1","/panneaux/agglomere_et_mdf/mdf/mdf_e1.png","/panneaux/agglomere_et_mdf/mdf/mdf_e1.png","/panneaux/agglomere_et_mdf/mdf/mdf_e1.png","/panneaux/agglomere_et_mdf/mdf/mdf_e1.png","Block after Info Column","product_nbr=pmdf.19.2800.2070.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/panneaux/agglomere_et_mdf/mdf/mdf_e1.png"
"3901",,"Default","simple","rcat_fr///Superleis plus","prof,priv","Sous-couches Superleis confort (alu)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: 12pt; font-family: Arial; font-weight: normal;"><font size="4"><span style="font-weight: bold;">Sous-couche Superleis Plus 24dB avec alu<br/></span>Sans chauffage au sol</font><font size="4"><font size="2"><font size="3"><font size="4"><span style="font-weight: bold;"><br/><br/></span><span style="text-decoration: underline;">Dimensions:</span></font> <font size="4"><span style="font-style: italic;">4mm x 1.15m x 13.10m<br/></span><br style="text-decoration: underline;"/></font></font><font size="4"><span style="text-decoration: underline;">Données:</span> <span style="font-style: italic;">24 DB</span></font></font></font><font size="4"><span style="font-weight: bold;"><br _moz_editor_bogus_node="TRUE"/></span></font></div>","1","TVA taux normal","Catalogue, recherche","8.9","/parquets/sous-couche/superleis_plus/superleis_plus.jpg","/parquets/sous-couche/superleis_plus/superleis_plus.jpg","/parquets/sous-couche/superleis_plus/superleis_plus.jpg","/parquets/sous-couche/superleis_plus/superleis_plus.jpg","Block after Info Column","product_nbr=scé.3.5.1150.13.10.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/parquets/sous-couche/superleis_plus/superleis_plus.jpg"
"3434",,"Default","simple","rcat_fr/Charpente et collés/Bois collés/Duo non visibles","prof,priv","Duo épicéa non visible (60mm)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><span style="font-weight: bold;"><font size="4">Carrelets ossatures épicéa/sapin </font><br/></span></span><font size="4">2-plis DUO qualité non visible (NSI)&#44;</font><font size="3"><font size="4"> aboutés&#44; </font><br/></font><font size="3"><font size="4">rabotés 4 faces&#44; légèrement chanfreinés&#44; <br/>séchés 15% +/-3%<br/><br/></font></font><font size="4"><span style="text-decoration: underline;">Sections</span>: <span style="font-style: italic;">6/8; 6/10; 6/12; 6/14; 6/16; 6/18cm<br/>               <br/><br/></span></font><font size="4"><span style="text-decoration: underline;">Longueurs:</span><span style="font-style: italic;"> 13 m</span> <br/></font><span style="font-weight: bold;"><font size="4"><br/></font><font size="3" style="font-weight: bold;"><span style="font-style: italic;">Nous disposons également du programme CadWork pour l'optimisation de vos listes!</span></font></span></div>","1","TVA taux normal","Catalogue, recherche","610","/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg","/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg","/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg","/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg","Block after Info Column","product_nbr=dénv.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg"
"4540",,"Default","simple","rcat_fr/Isolation/Knauf/Isolation Knauf TP","prof,priv","Isolation Knauf Laine de verre  25kg/m3 TP 430 100mm (5)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Isolation Knauf Laine de verre</span></font><span style="font-weight: bold;"><font size="4"> 25kg/m3<br/></font></span><span><font size="4">Plaques TP-KD 415 <span style="font-style: italic;">sans pare-vapeur<br/><br/></span></font><font size="4"><span style="font-weight: bold;">Du stock:</span><br/><br/></font><font size="4"><span style="text-decoration: underline;">Epaisseur:</span><span style="font-style: italic;"> 100 mm<br/></span><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Dimensions:</span> <span style="font-style: italic;">60 x 125 cm <br/><br/></span><span style="text-decoration: underline;">Quantité par paquet:</span><span style="font-style: italic;"> 3.75 m2</span></font></span><span style="font-weight: bold;"></span></div>","1","TVA taux normal","Catalogue, recherche","13.15","/isolation/knauf/isolation_knauf_tp/tp_430_kd.jpg","/isolation/knauf/isolation_knauf_tp/tp_430_kd.jpg","/isolation/knauf/isolation_knauf_tp/tp_430_kd.jpg","/isolation/knauf/isolation_knauf_tp/tp_430_kd.jpg","Block after Info Column","product_nbr=iktp430. 100.1250.600.site","1","1","1","1","1","1","0","0","0","5","0","1",,"/isolation/knauf/isolation_knauf_tp/tp_430_kd.jpg"
