sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images
"3481",,"Default","simple",,"prof,priv","Planches sapin largeur fixe 27/120","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Planches sapin brutes largeur fixe<br/></font></span><font size="4">Bois sec</font><font size="4"/><br/><font size="4"><span style="font-weight: bold;"><br/></span><span style="text-decoration: underline;">Sections:</span> <span style="font-style: italic;">27/120 mm</span><span style="font-weight: bold;"><br/><br/></span><span style="text-decoration: underline;">Longueurs:</span> <span style="font-style: italic;">4.00&#44; 4.50&#44; 5.00 m</span></font><br type="_moz"/></div>","2","TVA taux normal","Catalog, Search","2.1",,,,,"Block after Info Column","product_nbr=pslf.27.120.site","1","1","1","1","1","1","0","0","1","1","1","0",,
"3859",,"Default","simple",,"prof,priv","Tyvek X1","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Tyvek X1<br/></span>Lé de sous-toiture</font><font size="4"><span style="font-weight: bold;"></span></font><font size="4"><span style="font-style: italic;"><br/></span><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Dimensions:</span> <span style="font-style: italic;">1.50 x 50 m <br/><br/></span><span style="text-decoration: underline;">Quantité par rouleau:</span><span style="font-style: italic;"> 75 m2<br/></span></font><br/></div>","1","TVA taux normal","Catalog, Search","5.55",,,,,"Block after Info Column","product_nbr=tx11.5.50.00.site","1","1","1","1","1","1","0","0","1","1","1","0",,
"3862",,"Default","simple",,"prof,priv","Tyvek X3","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Tyvek X3<br/></span></font><font size="4">Lé de sous-toiture</font><font size="4"/><font size="4"><span style="font-style: italic;"><br/></span><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Dimensions:</span> <span style="font-style: italic;">1.5 x 50 m <br/><br/></span><span style="text-decoration: underline;">Quantité par rouleau:</span><span style="font-style: italic;"> 75 m2<br/></span></font><br/></div>","1","TVA taux normal","Catalog, Search","9.4",,,,,"Block after Info Column","product_nbr=tx31.5.50.00.site","1","1","1","1","1","1","0","0","1","1","1","0",,
"3855",,"Default","simple",,"prof,priv","Tyveck H1 p","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Tyvek H1 petit format<br/></span>Usage: Coupe-vent</font><font size="4"/><font size="4"><span style="font-style: italic;"><br/></span><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Dimensions:</span> <span style="font-style: italic;">1.50 x 100 m <br/><br/></span><span style="text-decoration: underline;">Quantité par rouleau:</span><span style="font-style: italic;"> 150 m2</span></font><br/></div>","1","TVA taux normal","Catalog, Search","3.4",,,,,"Block after Info Column","product_nbr=th1p.1.5.100.site","1","1","1","1","1","1","0","0","1","1","1","0",,
"1896",,"Default","simple",,"priv,prof","Planches sapin sections fixes 27/100 mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Planches sapin brutes largeur fixe<br/></font></span><font size="4">Bois sec</font><font size="4"/><br/><font size="4"><span style="font-weight: bold;"><br/></span><span style="text-decoration: underline;">Sections:</span> <span style="font-style: italic;">27/100 mm</span><span style="font-weight: bold;"><br/><br/></span><span style="text-decoration: underline;">Longueurs:</span> <span style="font-style: italic;">4.00&#44; 4.50&#44; 5.00 m</span></font><span style="font-weight: bold;"><font size="4"><br/></font></span></div>","1","TVA taux normal","Catalog, Search","2.05",,,,,"Block after Info Column","product_nbr=pslf.27.100.site","1","1","1","1","1","1","0","0","1","1","1","0",,
