sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price
"4918","All Websites [CHF]","9","1","60"
"1845","All Websites [CHF]","9","1","24"
"3616","All Websites [CHF]","9","1","6.2"
"4699","All Websites [CHF]","9","1","45"
"4995","All Websites [CHF]","9","1","2.45"
"3981","All Websites [CHF]","9","1","9.9"
"3901","All Websites [CHF]","9","1","7.4"
"3434","All Websites [CHF]","9","1","530"
"4918","All Websites [CHF]","1045","1","51"
"1845","All Websites [CHF]","1045","1","21"
"3616","All Websites [CHF]","1045","1","4.9"
"4699","All Websites [CHF]","1045","1","45"
"4995","All Websites [CHF]","1045","1","2.1"
"3981","All Websites [CHF]","1045","1","8.4"
"3901","All Websites [CHF]","1045","1","6.5"
"3434","All Websites [CHF]","1045","1","490"
"4540","All Websites [CHF]","9","1","8.55"
"4540","All Websites [CHF]","1045","1","7.89"
