sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images
3434,,Default,simple,,"prof,priv",Duo épicéa non visible (ép 60mm),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><span style=""font-weight: bold;""><font size=""4"">Carrelets ossatures épicéa/sapin </font><br/></span></span><font size=""4"">2-plis DUO qualité non visible (NSI)&#44;</font><font size=""3""><font size=""4""> aboutés&#44; </font><br/></font><font size=""3""><font size=""4"">rabotés 4 faces&#44; légèrement chanfreinés&#44; <br/>séchés 15% +/-3%<br/><br/></font></font><font size=""4""><span style=""text-decoration: underline;"">Sections</span>: <span style=""font-style: italic;""><span style=""font-weight: bold;"">60/80; 60/100; 60/120; 60/140; 60/160; 60/180 mm</span><br/>               <br/></span></font><font size=""4""><span style=""text-decoration: underline;"">Longueurs:</span><span style=""font-style: italic;""> <span style=""font-weight: bold;"">13.0 m</span></span><span style=""font-weight: bold;""> </span><br/></font><span style=""font-weight: bold;""><font size=""4""><br/></font><font size=""3"" style=""font-weight: bold;""><span style=""font-style: italic;"">Nous disposons également du programme CadWork pour l'optimisation de vos listes!</span></font></span></div>",1,TVA taux normal,"Catalog, Search",760,,,,,Block after Info Column,product_nbr=dénv.60.site,1,1,1,1,1,1,0,0,1,1,1,0,,
5432,,Default,simple,rcat_fr/Charpente et collés/Bois collés/Duo non visibles,"prof,priv",Duo épicéa non visible (ép 80 mm),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><span style=""font-weight: bold;""><font size=""4"">Carrelets ossatures épicéa/sapin </font><br/></span></span><font size=""4"">2-plis DUO qualité non visible (NSI)&#44;</font><font size=""3""><font size=""4""> aboutés&#44; </font><br/></font><font size=""3""><font size=""4"">rabotés 4 faces&#44; légèrement chanfreinés&#44; <br/>séchés 15% +/-3%<br/><br/></font></font><font size=""4""><span style=""text-decoration: underline;"">Sections</span>: <span style=""font-style: italic;""><span style=""font-weight: bold;"">80/120; 80/140; 80/160; 80/180; 80/200 mm</span><br/>               <br/></span></font><font size=""4""><span style=""text-decoration: underline;"">Longueur:</span><span style=""font-style: italic;""> <span style=""font-weight: bold;"">13 m</span></span> <br/></font><span style=""font-weight: bold;""><font size=""4""><br/></font><font size=""3"" style=""font-weight: bold;""><span style=""font-style: italic;"">Nous disposons également du programme CadWork pour l'optimisation de vos listes!</span></font></span></div>",1,TVA taux normal,"Catalog, Search",760,/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg,/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg,/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg,/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg,Block after Info Column,product_nbr=dénv.80.site,1,1,1,1,1,1,0,0,1,1,1,0,,/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg
5433,,Default,simple,rcat_fr/Charpente et collés/Bois collés/Duo non visibles,"prof,priv",Duo épicéa non visible (ép 100 mm),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><span style=""font-weight: bold;""><font size=""4"">Carrelets ossatures épicéa/sapin </font><br/></span></span><font size=""4"">2-plis DUO qualité non visible (NSI)&#44;</font><font size=""3""><font size=""4""> aboutés&#44; </font><br/></font><font size=""3""><font size=""4"">rabotés 4 faces&#44; légèrement chanfreinés&#44; <br/>séchés 15% +/-3%<br/><br/></font></font><font size=""4""><span style=""text-decoration: underline;"">Sections</span>: <span style=""font-style: italic;""><span style=""font-weight: bold;"">100/120; 100/140 mm</span> <br/>               <br/></span></font><font size=""4""><span style=""text-decoration: underline;"">Longueur:</span><span style=""font-style: italic;""> <span style=""font-weight: bold;"">13 m</span></span> <br/></font><span style=""font-weight: bold;""><font size=""4""><br/></font><font size=""3"" style=""font-weight: bold;""><span style=""font-style: italic;"">Nous disposons également du programme CadWork pour l'optimisation de vos listes!</span></font></span></div>",1,TVA taux normal,"Catalog, Search",760,/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg,/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg,/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg,/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg,Block after Info Column,product_nbr=dénv.100.site,1,1,1,1,1,1,0,0,1,1,1,0,,/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg
