sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price
6352,All Websites [CHF],8.11,1,145
3584,All Websites [CHF],8.11,1,273.85
1865,All Websites [CHF],8.11,1,198.5
6351,All Websites [CHF],8.11,1,129
