sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images
"4830",,"Default","simple","rcat_fr/Charpente et collés/Bois collés/Duo mélèze","prof","Duo mélèze visible 140 mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Carrelets mélèze 2-plis DUO</font><br/></span><font size="3">qualité visible&#44; </font><font size="3">aboutés&#44; rabotés 4 faces&#44; <br/>légèrement chanfreinés&#44; séchés </font><font size="3">15% +/-3%<br/></font><font size="3"><br/><span style="text-decoration: underline;">Epaisseur</span>: <span style="font-style: italic;">140 mm</span><br/><br/><span style="text-decoration: underline;">Largeurs:</span> <span style="font-style: italic;">140 mm</span><br/><br/><span style="text-decoration: underline;">Longueur</span>: <span style="font-style: italic;">13.00 m</span></font><br/></div>","1","TVA taux normal","Catalog, Search","1900","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","Block after Info Column","product_nbr=dmv.140.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg"
"2712",,"Default","simple","rcat_fr/Charpente et collés/Bois collés/Duo mélèze","prof","Duo mélèze visible 160 mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Carrelets mélèze 2-plis DUO</font><br/></span><font size="3">qualité visible&#44; </font><font size="3">aboutés&#44; rabotés 4 faces&#44; <br/>légèrement chanfreinés&#44; séchés </font><font size="3">15% +/-3%<br/></font><font size="3"><br/><span style="text-decoration: underline;">Epaisseur</span>: <span style="font-style: italic;">160 mm</span><br/><br/><span style="text-decoration: underline;">Largeurs:</span> <span style="font-style: italic;">220 mm</span><br/><br/><span style="text-decoration: underline;">Longueur</span>: <span style="font-style: italic;">13.00 m</span></font><br/></div>","1","TVA taux normal","Catalog, Search","1900","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","Block after Info Column","product_nbr=dmv.160.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg"
"5346",,"Default","simple","rcat_fr/Charpente et collés/Bois collés/Duo mélèze","prof","Duo mélèze visible 120 mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Carrelets mélèze 2-plis DUO</font><br/></span><font size="3">qualité visible&#44; </font><font size="3">aboutés&#44; rabotés 4 faces&#44; <br/>légèrement chanfreinés&#44; séchés </font><font size="3">15% +/-3%<br/></font><font size="3"><br/><span style="text-decoration: underline;">Epaisseur</span>: <span style="font-style: italic;">120 mm</span><br/><br/><span style="text-decoration: underline;">Largeurs:</span> <span style="font-style: italic;">180 - 200 - 220 mm</span><br/><br/><span style="text-decoration: underline;">Longueur</span>: <span style="font-style: italic;">13.00 m</span></font><br/></div>","1","TVA taux normal","Catalog, Search","1900","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","Block after Info Column","product_nbr=dmv.120.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg"
"4903",,"Default","simple","rcat_fr/Charpente et collés/Bois collés/Duo mélèze","prof","Duo mélèze visible 60 mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Carrelets mélèze 2-plis DUO</font><br/></span><font size="3">qualité visible&#44; </font><font size="3">aboutés&#44; rabotés 4 faces&#44; <br/>légèrement chanfreinés&#44; séchés </font><font size="3">15% +/-3%<br/></font><font size="3"><br/><span style="text-decoration: underline;">Epaisseur</span>: <span style="font-style: italic;">60 mm</span><br/><br/><span style="text-decoration: underline;">Largeurs:</span> <span style="font-style: italic;">200 mm</span><br/><br/><span style="text-decoration: underline;">Longueur</span>: <span style="font-style: italic;">13.00 m</span></font><br/><br type="_moz"/></div>","1","TVA taux normal","Catalog, Search","1900","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","Block after Info Column","product_nbr=dmv.60.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg"
