sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images
"1862",,"Default","simple","rcat_fr/Menuiserie et Avivés/Menuiserie résineux/Epicéa Vapo-traitée","prof,priv","Menuiserie épicéa Vapo-traitée","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Menuiserie épicéa vapo-traité</span></font><span style="font-weight: bold;"><font size="4"><br/><br/></font></span><font size="4"><font size="3"><span style="text-decoration: underline;">Epaisseurs:</span> <span style="font-style: italic;">28-38-48-65-75-85 mm<br/><br/></span><span style="text-decoration: underline;">Longueurs:</span><span style="font-style: italic;"> 5.00 m<br/></span><br/>Veuillez insérer l'épaisseur et le nombre de mètre cube désiré.<br/><br/>Nous vous confirmerons les largeurs disponibles.</font><span style="text-decoration: underline;"><span style="font-style: italic;"><br type="_moz"/></span></span></font><font size="4"><font size="4"/></font></div>","1","TVA taux normal","Catalog, Search","1900","/menuiserie_et_avives/menuiserie_resineux/vapo-traitee/menuiserie_epicea_vapo.jpg","/menuiserie_et_avives/menuiserie_resineux/vapo-traitee/menuiserie_epicea_vapo.jpg","/menuiserie_et_avives/menuiserie_resineux/vapo-traitee/menuiserie_epicea_vapo.jpg","/menuiserie_et_avives/menuiserie_resineux/vapo-traitee/menuiserie_epicea_vapo.jpg","Block after Info Column","product_nbr=mév.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/menuiserie_et_avives/menuiserie_resineux/vapo-traitee/menuiserie_epicea_vapo.jpg"
"1714",,"Default","simple","rcat_fr/Menuiserie et Avivés/Menuiserie feuillus/Chêne","prof","Menuiserie chêne I/II","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Menuiserie chêne I/II</font></span><font size="4"><br/><font size="3"><span style="font-weight: bold;"><br/></span><font size="4"><font size="3"><span style="text-decoration: underline;">Epaisseurs:</span> 22-24</font><span style="font-style: italic;"><font size="3">-30-36-41-45-50-60-65-70-75-80-100 mm</font><br/><br/></span></font></font></font><font size="3">Veuillez choisir l'épaisseur et le  nombre de mètre cube désiré.<br/><br/>Nous vous confirmerons les longueurs et les largeurs disponibles.</font><font size="4"><font size="3"><font size="4"><br/></font><br/><br type="_moz"/></font></font></div>","1","TVA taux normal","Catalog, Search","2800","/menuiserie_et_avives/menuiserie_feuillus/chene/menuiserie_chene.jpg","/menuiserie_et_avives/menuiserie_feuillus/chene/menuiserie_chene.jpg","/menuiserie_et_avives/menuiserie_feuillus/chene/menuiserie_chene.jpg","/menuiserie_et_avives/menuiserie_feuillus/chene/menuiserie_chene.jpg","Block after Info Column","product_nbr=mc.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/menuiserie_et_avives/menuiserie_feuillus/chene/menuiserie_chene.jpg"
"3923",,"Default","simple","rcat_fr/Charpente et collés/Bois collés/Duo mélèze","prof","Duo mélèze visible 100 mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Carrelets mélèze 2-plis DUO</font><br/></span><font size="3">qualité visible&#44; </font><font size="3">aboutés&#44; rabotés 4 faces&#44; <br/>légèrement chanfreinés&#44; séchés </font><font size="3">15% +/-3%<br/></font><font size="3"><br/><span style="text-decoration: underline;">Epaisseur</span>: <span style="font-style: italic;">100 mm</span><br/><br/><span style="text-decoration: underline;">Largeurs:</span> <span style="font-style: italic;">100 - 160 - 200 mm</span><br/><br/><span style="text-decoration: underline;">Longueur</span>: <span style="font-style: italic;">13.00 m</span></font><br/></div>","1","TVA taux normal","Catalog, Search","1900","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg","Block after Info Column","product_nbr=dmv.100.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/charpente_et_colles/bois_colles/duo_meleze/duo_meleze.jpg"
