sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price
"5018","All Websites [CHF]","8.0","1","16.6"
"5019","All Websites [CHF]","8.0","1","17.7"
"5020","All Websites [CHF]","8.0","1","15.45"
"5166","All Websites [CHF]","8.0","1","15.45"
"5165","All Websites [CHF]","8.0","1","17.7"
"5167","All Websites [CHF]","8.0","1","16.6"
"3667","All Websites [CHF]","8.0","1","15"
"3666","All Websites [CHF]","8.0","1","17.2"
"3660","All Websites [CHF]","8.0","1","17.2"
"3661","All Websites [CHF]","8.0","1","15"
"5018","All Websites [CHF]","8.11","1","16.6"
"5019","All Websites [CHF]","8.11","1","17.7"
"5020","All Websites [CHF]","8.11","1","15.45"
"5166","All Websites [CHF]","8.11","1","15.45"
"5165","All Websites [CHF]","8.11","1","17.7"
"5167","All Websites [CHF]","8.11","1","16.6"
"3667","All Websites [CHF]","8.11","1","15"
"3666","All Websites [CHF]","8.11","1","17.2"
"3660","All Websites [CHF]","8.11","1","17.2"
"3661","All Websites [CHF]","8.11","1","15"
