sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images
"6351",,"Default","simple","rcat_fr/3-plis  et massif/3-plis feuillus/Chêne européen","prof","Panneaux 3 plis chêne 20 mm (1250 mm)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Panneaux 3 plis chêne Européen A/B<br/></span></font><font size="4"><font size="3">(5/10/5mm)</font></font><font size="3"><span id="main" style="visibility: visible;"><br/><br/><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">20 mm<br/></span><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Dimensions:</span> <span style="font-style: italic;">1'250 x 1'250 mm</span></span></font></div>","1","TVA taux normal","Catalog, Search","164","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","Block after Info Column","product_nbr=p3pc.20.1250.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg"
"6353",,"Default","simple","rcat_fr/3-plis  et massif/3-plis feuillus/Chêne européen","prof","Panneaux 3 plis chêne 20 mm (2050 mm)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Panneaux 3 plis chêne Européen A/B<br/></span></font><font size="4"><font size="3">(5/10/5mm)</font></font><font size="3"><span id="main" style="visibility: visible;"><br/><br/><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">20 mm<br/></span><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Dimensions:</span> <span style="font-style: italic;">2'050 x 1'250 mm</span></span></font></div>","1","TVA taux normal","Catalog, Search","208","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","Block after Info Column","product_nbr=p3pc.20.2050.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg"
"6354",,"Default","simple","rcat_fr/3-plis  et massif/3-plis feuillus/Chêne européen","prof","Panneaux 3 plis chêne 20 mm (2500 mm)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Panneaux 3 plis chêne Européen A/B<br/></span></font><font size="4"><font size="3">(5/10/5mm)</font></font><font size="3"><span id="main" style="visibility: visible;"><br/><br/><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">20 mm<br/></span><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Dimensions:</span> <span style="font-style: italic;">2'500 x 1'250 mm</span></span></font></div>","1","TVA taux normal","Catalog, Search","208","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","Block after Info Column","product_nbr=p3pc.20.2500.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg"
"6352",,"Default","simple","rcat_fr/3-plis  et massif/3-plis feuillus/Chêne européen","prof","Panneaux 3 plis chêne 20 mm (1650 mm)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Panneaux 3 plis chêne Européen A/B<br/></span></font><font size="4"><font size="3">(5/10/5mm)</font></font><font size="3"><span id="main" style="visibility: visible;"><br/><br/><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">20 mm<br/></span><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Dimensions:</span> <span style="font-style: italic;">1'650 x 1'250 mm</span></span></font><br/><font size="4"><font size="3"><br/></font></font></div>","1","TVA taux normal","Catalog, Search","184","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","Block after Info Column","product_nbr=p3pc.20.1650.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg"
"3584",,"Default","simple","rcat_fr/3-plis  et massif/3-plis feuillus/Chêne européen","prof","Panneaux 3 plis chêne 21mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Panneaux 3 plis chêne Européen A/B<br/></span><font size="3">(3x7mm)</font></font><font size="3"><span style="visibility: visible;" id="main"><br/><br/><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">21 mm<br/></span><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Dimensions:</span> <span style="font-style: italic;">2'500 x 1'220 mm</span></span></font><br type="_moz"/></div>","1","TVA taux normal","Catalog, Search","323.65","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/chene.jpg","Block after Info Column","product_nbr=p3pc.21.2500.1220.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/3-plis_et_massifs/3-plis_feuillus/chene_europeen/chene.jpg"
"1865",,"Default","simple","rcat_fr/3-plis  et massif/3-plis feuillus/Chêne européen","prof","Panneaux 3 plis chêne 21mm (1220)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Panneaux 3 plis chêne Européen A/B<br/></span><font size="4">(3x7mm)</font></font><span style="visibility: visible;" id="main"><font size="4"><br/><br/><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">21 mm<br/></span><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Dimensions:</span> <span style="font-style: italic;">200 - 220 - 240 - 280 cm x 122 cm</span></font><br type="_moz"/></span></div>","1","TVA taux normal","Catalog, Search","245","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","Block after Info Column","product_nbr=p3pc.1220.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg"
"6355",,"Default","simple","rcat_fr/3-plis  et massif/3-plis feuillus/Chêne européen","prof","Panneaux 3 plis chêne 20 mm (3000 mm)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Panneaux 3 plis chêne Européen A/B<br/></span></font><font size="4"><font size="3">(5/10/5mm)</font></font><font size="3"><span id="main" style="visibility: visible;"><br/><br/><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">20 mm<br/></span><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Dimensions:</span> <span style="font-style: italic;">3'000 x 1'250 mm</span></span></font></div>","1","TVA taux normal","Catalog, Search","244","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg","Block after Info Column","product_nbr=p3pc.20.3000.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/3-plis_et_massifs/3-plis_feuillus/chene_europeen/3_plis_chene.jpg"
