sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price
"3514","All Websites [CHF]","1045","1","1.85"
"5009","All Websites [CHF]","1045","1","1.05"
"3512","All Websites [CHF]","1045","1","1.55"
"3513","All Websites [CHF]","1045","1","1.1"
"3516","All Websites [CHF]","1045","1","2.4"
"3521","All Websites [CHF]","1045","1","4.55"
"4995","All Websites [CHF]","1045","1","3.25"
"3435","All Websites [CHF]","1045","1","720"
"3970","All Websites [CHF]","1045","1","1200"
"3436","All Websites [CHF]","1045","1","1300"
"1852","All Websites [CHF]","1045","1","1100"
"3515","All Websites [CHF]","1045","1","1.9"
"3518","All Websites [CHF]","1045","1","3.1"
"3520","All Websites [CHF]","1045","1","3.6"
"1896","All Websites [CHF]","1045","1","1.2"
"4260","All Websites [CHF]","1045","1","23.7"
